Date,brand,sessions,conversions,revenue,cr,aov,campaign,campaign_volume
2022-01-01,alpha,49,0,0.0,0.004918,445.21,no,no-campaign
2022-01-01,beta,295,4,416.18,0.018613,104.04,no,no-campaign
2022-01-01,gamma,11,0,0.0,0.001891,1124.22,no,no-campaign
2022-01-01,delta,306,6,183.09,0.033088,30.51,no,no-campaign
2022-01-01,epsilon,32,0,0.0,0.000928,3023.75,no,no-campaign
2022-01-02,alpha,47,0,0.0,0.004684,424.21,no,no-campaign
2022-01-02,beta,188,3,292.56,0.020167,97.52,no,no-campaign
2022-01-02,gamma,10,0,0.0,0.001946,1139.23,no,no-campaign
2022-01-02,delta,421,10,310.57,0.023713,31.06,no,no-campaign
2022-01-02,epsilon,35,0,0.0,0.001317,3048.71,no,no-campaign
2022-01-03,alpha,63,0,0.0,0.004047,432.43,no,no-campaign
2022-01-03,beta,274,4,411.61,0.019302,102.9,no,no-campaign
2022-01-03,gamma,17,0,0.0,0.002248,1053.57,no,no-campaign
2022-01-03,delta,548,19,613.36,0.034562,32.28,no,no-campaign
2022-01-03,epsilon,57,0,0.0,0.00132,3661.01,no,no-campaign
2022-01-04,alpha,62,0,0.0,0.003651,452.25,no,no-campaign
2022-01-04,beta,228,4,412.19,0.020399,103.05,no,no-campaign
2022-01-04,gamma,16,0,0.0,0.001815,1051.43,no,no-campaign
2022-01-04,delta,621,17,608.93,0.034473,35.82,no,no-campaign
2022-01-04,epsilon,51,0,0.0,0.001415,3250.96,no,no-campaign
2022-01-05,alpha,49,1,405.44,0.004807,405.44,no,no-campaign
2022-01-05,beta,215,2,186.03,0.018011,93.02,no,no-campaign
2022-01-05,gamma,16,0,0.0,0.001961,1121.49,no,no-campaign
2022-01-05,delta,375,20,695.33,0.030942,34.77,no,no-campaign
2022-01-05,epsilon,32,0,0.0,0.001196,3217.39,no,no-campaign
2022-01-06,alpha,87,0,0.0,0.005295,410.32,no,no-campaign
2022-01-06,beta,278,6,631.75,0.015645,105.29,no,no-campaign
2022-01-06,gamma,17,0,0.0,0.001885,1195.3,no,no-campaign
2022-01-06,delta,550,17,517.5,0.028241,30.44,no,no-campaign
